EVENT_TIME,EVENT_ID,CHANNEL,CHALLENGE_RESULT,USER_ID,IP_ADDRESS,ISP,USER_COUNTRY,PAYEE_ID,PAYEE_COUNTRY,AMOUNT,IS_FRAUD
20160801 02:19,59,MOBILE-APP,Y,user70,40.97.110.197,ISP16,USA,payee51,TLS,10,G
20160801 02:23,60,MOBILE-APP,Y,user117,217.197.251.208,ISP2,PER,payee77,NGA,600,G
20160801 02:24,61,WEB,Y,user1,47.162.135.159,ISP16,PHL,payee47,NGA,60000,G
20160801 02:26,62,WEB,Y,user161,226.215.102.251,ISP3,PCN,payee44,NGA,20,G
20160801 02:28,63,WEB,Y,user27,214.81.43.230,ISP7,USA,payee92,THA,4000,G
20160801 02:30,64,WEB,Y,user107,244.146.203.52,ISP22,COL,payee82,CHN,8,G
20160801 02:31,65,WEB,Y,user279,255.214.108.116,ISP21,USA,payee35,ZAF,400,G
20160801 02:33,66,MOBILE-BROWSER,Y,user57,62.222.172.29,ISP6,GBR,payee38,CHN,8000,G
20160801 02:34,67,MOBILE-APP,Y,user81,188.2.41.56,ISP12,NLD,payee19,CHN,20000,G
20160801 02:36,68,WEB,Y,user109,109.66.64.110,ISP12,NLD,payee46,WSM,500,G
20160801 02:36,69,MOBILE-APP,Y,user195,45.27.164.218,ISP22,ARG,payee6,WLF,10,G
20160801 02:37,70,WEB,Y,user13,37.242.156.31,ISP21,ISL,payee29,VUT,60,G
20160801 02:38,71,MOBILE-APP,Y,user111,193.157.164.38,ISP21,ITA,payee2,CHN,900,G
20160801 02:41,72,WEB,Y,user66,74.213.150.107,ISP12,DEU,payee76,RUS,90,G
20160801 02:48,73,MOBILE-APP,Y,user176,240.198.6.58,ISP24,MAC,payee2,NGA,30000,G
20160801 02:48,74,MOBILE-BROWSER,Y,user67,168.118.250.135,ISP11,USA,payee90,VEN,70,G
20160801 02:50,75,MOBILE-BROWSER,Y,user236,37.81.207.195,ISP25,NZL,payee5,VCT,4000,G
20160801 02:54,76,MOBILE-APP,Y,user141,119.0.103.153,ISP13,USA,payee11,VAT,6000,G
20160801 02:57,77,MOBILE-BROWSER,Y,user25,53.254.109.205,ISP16,USA,payee85,UZB,800,G
20160801 02:59,78,MOBILE-APP,Y,user146,69.74.29.194,ISP9,NGA,payee5,USA,90,G
20160801 03:00,79,MOBILE-BROWSER,Y,user163,76.165.136.188,ISP4,CHN,payee20,USA,4,G
20160801 03:09,80,MOBILE-APP,Y,user105,182.240.124.41,ISP14,PRK,payee17,UKR,500,G
20160801 03:11,81,WEB,Y,user39,163.113.72.235,ISP2,MNP,payee40,RUS,7,G
20160801 03:15,82,MOBILE-APP,Y,user178,197.33.197.175,ISP19,NOR,payee24,TZA,40000,G
20160801 03:27,83,MOBILE-BROWSER,Y,user269,77.90.97.236,ISP13,USA,payee36,TWN,800,G
20160801 03:29,84,MOBILE-APP,Y,user43,113.24.62.244,ISP21,PAK,payee37,TUV,3000,G
20160801 03:32,85,WEB,Y,user180,20.210.29.170,ISP25,PLW,payee69,TUR,600,G
20160801 03:34,86,MOBILE-APP,Y,user114,44.166.213.203,ISP5,PSE,payee63,TUN,50,G
20160801 03:37,87,WEB,Y,user156,78.120.245.183,ISP20,USA,payee2,TTO,20000,G
20160801 03:40,88,WEB,Y,user245,19.251.150.163,ISP5,PNG,payee49,TON,9,G
20160801 03:43,89,WEB,Y,user80,10.107.92.140,ISP4,PRY,payee81,CHN,10,G
20160801 03:45,90,MOBILE-BROWSER,Y,user160,134.207.60.13,ISP25,PER,payee72,CHN,700,G
20160801 03:47,91,MOBILE-APP,Y,user19,213.216.68.92,ISP2,PHL,payee26,CHN,10,G
20160801 03:48,92,MOBILE-APP,Y,user208,103.130.37.169,ISP23,USA,payee55,CHN,10000,G
20160801 03:52,93,MOBILE-BROWSER,Y,user169,87.108.134.39,ISP4,POL,payee18,THA,9,G
20160801 03:55,94,MOBILE-BROWSER,Y,user3,95.41.248.164,ISP22,COL,payee45,RUS,2000,G
20160801 04:00,95,WEB,Y,user127,9.31.93.37,ISP24,USA,payee87,WSM,80000,G
20160801 04:04,96,MOBILE-APP,Y,user233,155.197.174.93,ISP11,GBR,payee10,WLF,700,G
20160801 04:06,97,WEB,Y,user142,242.203.138.30,ISP23,CHN,payee2,RUS,1000,G
20160801 04:12,98,MOBILE-APP,Y,user33,232.159.152.191,ISP23,NLD,payee64,CHN,60000,G
20160801 04:13,99,WEB,Y,user18,30.219.149.186,ISP19,ARG,payee42,RUS,200,G
20160801 04:16,100,MOBILE-BROWSER,Y,user154,138.247.32.36,ISP16,ISL,payee59,NGA,6000,G
20160801 04:17,101,MOBILE-APP,Y,user227,216.172.72.214,ISP24,CHN,payee27,VEN,50000,G
20160801 04:23,102,MOBILE-BROWSER,Y,user24,152.116.141.166,ISP1,CHN,payee84,VCT,100000,G
20160801 04:25,103,MOBILE-APP,Y,user95,42.175.162.138,ISP4,NLD,payee5,VAT,3000,G
20160801 04:26,104,WEB,Y,user191,246.70.54.135,ISP24,USA,payee26,UZB,80,G
20160801 04:27,105,WEB,Y,user297,104.60.127.245,ISP11,USA,payee56,ZAF,40000,G
20160801 04:28,106,WEB,N,user227,212.195.157.243,ISP10,ARG,payee100,WLF,7000,F
20160801 04:31,107,MOBILE-BROWSER,Y,user67,212.195.236.79,ISP4,ISL,payee44,VUT,7,F
20160801 04:32,108,WEB,Y,user179,95.253.178.54,ISP22,GBR,payee70,YEM,10,G
20160801 04:32,109,WEB,Y,user238,136.234.161.120,ISP18,CHN,payee74,XKX,30000,G
20160801 04:33,110,WEB,Y,user130,144.210.146.146,ISP11,NLD,payee17,CHN,30,G
20160801 04:34,111,WEB,Y,user58,253.132.63.73,ISP4,CHN,payee2,WLF,100000,G
20160801 04:36,112,WEB,N,user227,85.30.205.201,ISP8,GBR,payee55,RUS,40,F
20160801 04:41,113,MOBILE-APP,Y,user60,80.223.159.36,ISP13,USA,payee31,VUT,500,G
20160801 04:42,114,WEB,Y,user172,51.73.255.247,ISP1,ITA,payee33,CHN,20,G
20160801 04:50,115,MOBILE-APP,Y,user229,199.31.126.200,ISP22,DEU,payee90,RUS,100000,G
20160801 04:51,116,WEB,Y,user17,15.82.253.232,ISP26,MAC,payee46,NGA,3,G
20160801 04:51,117,MOBILE-BROWSER,Y,user93,214.127.35.96,ISP20,CHN,payee9,VEN,6000,G
20160801 04:51,118,MOBILE-APP,Y,user110,107.175.89.33,ISP27,NZL,payee3,VCT,4,G
20160801 04:56,119,MOBILE-BROWSER,Y,user162,18.113.243.43,ISP19,NIC,payee1,VAT,10000,G
20160801 04:58,120,MOBILE-APP,Y,user73,125.189.39.249,ISP30,NER,payee88,UZB,100,G
20160801 04:58,121,MOBILE-BROWSER,Y,user280,24.254.178.18,ISP19,NGA,payee2,USA,60,G
20160801 04:58,122,MOBILE-APP,Y,user268,21.131.226.95,ISP17,DEU,payee2,RUS,10,F
20160801 05:03,123,WEB,Y,user131,222.197.49.177,ISP22,USA,payee20,URY,90000,G
20160801 05:12,124,WEB,Y,user150,230.250.79.228,ISP1,PRK,payee52,CHN,60,G
20160801 05:12,125,MOBILE-APP,Y,user83,192.126.199.189,ISP27,MNP,payee89,UGA,1000,G
20160801 05:13,126,MOBILE-APP,Y,user193,233.38.241.69,ISP13,NOR,payee50,TZA,50000,G
20160801 05:15,127,MOBILE-APP,Y,user41,6.242.180.75,ISP3,OMN,payee73,TWN,10,G
20160801 05:21,128,WEB,Y,user79,66.229.89.240,ISP15,PAK,payee79,TUV,7000,G
20160801 05:30,129,MOBILE-BROWSER,Y,user221,95.253.178.54,ISP27,PLW,payee2,TUR,8,G
20160801 05:30,130,WEB,Y,user94,210.162.51.39,ISP4,USA,payee5,TUN,80,G
20160801 05:31,131,MOBILE-BROWSER,Y,user96,53.216.215.127,ISP8,USA,payee72,TTO,1000,G
20160801 05:34,132,MOBILE-BROWSER,Y,user228,191.141.142.8,ISP22,PNG,payee49,TON,4,G
20160801 05:39,133,WEB,Y,user38,141.54.101.31,ISP15,USA,payee66,USA,900,G
20160801 05:39,134,MOBILE-APP,Y,user239,234.35.208.243,ISP27,USA,payee64,USA,90,G
20160801 05:40,135,MOBILE-APP,Y,user197,34.247.44.231,ISP21,PHL,payee86,RUS,40,G
20160801 05:51,136,MOBILE-BROWSER,Y,user115,58.31.112.77,ISP22,PCN,payee1,RUS,80000,G
20160801 05:51,137,MOBILE-BROWSER,Y,user31,46.107.48.124,ISP29,POL,payee17,THA,3000,G
20160801 05:55,138,MOBILE-APP,Y,user230,97.229.132.145,ISP9,COL,payee18,RUS,300,G
20160801 05:57,139,MOBILE-APP,N,user84,115.115.136.60,ISP18,CHN,payee14,CHN,2000,F
20160801 06:01,140,MOBILE-APP,Y,user249,128.88.242.79,ISP11,USA,payee22,ZAF,80,G
20160801 06:02,141,WEB,N,user84,58.170.176.223,ISP6,NCL,payee63,VEN,3,F
20160801 06:12,142,MOBILE-BROWSER,Y,user133,255.191.7.18,ISP30,GBR,payee60,YEM,200,G
20160801 06:17,143,WEB,Y,user98,147.221.26.207,ISP8,CHN,payee54,XKX,60000,G
20160801 06:19,144,WEB,Y,user151,64.11.60.29,ISP2,NLD,payee39,WSM,80000,G
20160801 06:23,145,WEB,Y,user188,56.183.180.64,ISP6,ARG,payee2,WLF,90000,G
20160801 06:28,146,MOBILE-BROWSER,Y,user33,41.252.174.230,ISP10,ARG,payee34,NGA,5,F
20160801 06:29,147,MOBILE-APP,Y,user175,154.49.157.82,ISP14,ISL,payee92,VUT,5,G
20160801 06:29,148,WEB,Y,user271,189.77.90.244,ISP22,ITA,payee96,CHN,7,G
20160801 06:43,149,MOBILE-BROWSER,Y,user212,241.72.225.77,ISP25,DEU,payee16,RUS,6000,G
20160801 06:45,150,MOBILE-APP,Y,user35,48.116.214.58,ISP24,MAC,payee7,NGA,9000,G
20160801 06:48,151,MOBILE-BROWSER,Y,user252,161.156.108.48,ISP15,USA,payee5,VEN,600,G
20160801 06:49,152,MOBILE-APP,Y,user76,86.213.171.213,ISP14,NZL,payee12,VCT,10,G
20160801 06:51,153,MOBILE-APP,Y,user272,128.29.41.200,ISP27,USA,payee2,VAT,3000,G
20160801 06:52,154,MOBILE-APP,Y,user32,39.108.67.197,ISP14,NER,payee8,UZB,60000,G
20160801 07:01,155,MOBILE-BROWSER,Y,user119,215.93.26.134,ISP23,NGA,payee67,USA,40,G
20160801 07:02,156,WEB,Y,user139,199.27.28.200,ISP18,NIU,payee15,URY,600,G
20160801 07:03,157,WEB,Y,user63,184.120.4.222,ISP22,USA,payee97,UKR,5000,G
20160801 07:06,158,MOBILE-BROWSER,Y,user143,195.188.111.0,ISP1,USA,payee68,USA,700,G
20160801 07:13,159,WEB,Y,user164,112.252.209.145,ISP20,NOR,payee2,TZA,90,G
20160801 07:20,160,MOBILE-APP,Y,user157,86.253.120.229,ISP19,OMN,payee6,TWN,4000,G
20160801 07:21,161,WEB,Y,user168,84.94.46.25,ISP14,PAK,payee75,TUV,70000,G
20160801 07:21,162,MOBILE-BROWSER,N,user146,182.50.176.184,ISP26,PLW,payee58,TUR,10,G
20160801 07:23,163,WEB,N,user270,69.213.202.149,ISP19,PSE,payee83,TUN,2,G
20160801 07:24,164,MOBILE-APP,Y,user242,235.85.38.185,ISP19,PAN,payee32,TTO,9000,G
20160801 07:26,165,WEB,N,user165,175.187.67.101,ISP9,PNG,payee25,TON,20,G
20160801 07:26,166,MOBILE-APP,N,user63,21.195.247.41,ISP18,GBR,payee26,RUS,600,F
20160801 07:27,167,WEB,N,user49,153.156.126.141,ISP6,PRY,payee36,TLS,10000,G
20160801 07:27,168,WEB,N,user141,154.28.205.185,ISP1,PER,payee17,TKM,70,G
20160801 07:28,169,WEB,N,user73,183.193.152.218,ISP29,PHL,payee45,RUS,200,G
20160801 07:29,170,WEB,N,user16,223.252.35.100,ISP20,PCN,payee93,TJK,10,G
20160801 07:33,171,MOBILE-BROWSER,N,user115,229.109.4.46,ISP15,POL,payee41,USA,600,G
20160801 07:44,172,MOBILE-BROWSER,N,user272,63.188.172.186,ISP8,COL,payee80,RUS,600,G
20160801 07:47,173,MOBILE-BROWSER,Y,user192,254.156.203.70,ISP16,USA,payee63,ZAF,10,G
20160801 07:48,174,WEB,N,user98,123.221.63.208,ISP30,GBR,payee26,YEM,1,G
20160801 07:49,175,WEB,Y,user87,22.61.70.83,ISP20,NLD,payee5,XKX,8,G
20160801 07:52,176,MOBILE-APP,N,user294,64.230.189.186,ISP4,NLD,payee2,WSM,4000,G
20160801 07:52,177,WEB,N,user169,71.75.218.57,ISP1,NER,payee67,UZB,2000,F
20160801 07:56,178,MOBILE-APP,N,user57,34.196.167.35,ISP26,ARG,payee98,WLF,500,G
20160801 07:56,179,MOBILE-BROWSER,Y,user222,189.6.105.72,ISP25,USA,payee99,VUT,100,G
20160801 08:02,180,MOBILE-APP,N,user17,104.165.250.83,ISP18,ITA,payee11,CHN,2,G
20160801 08:05,181,MOBILE-APP,N,user161,235.129.11.245,ISP2,DEU,payee84,RUS,20,G
20160801 08:07,182,MOBILE-BROWSER,N,user249,253.2.144.14,ISP1,MAC,payee17,NGA,70,G
20160801 08:07,183,WEB,N,user27,224.199.144.231,ISP7,NCL,payee76,VEN,9,G
20160801 08:07,184,MOBILE-APP,N,user260,166.247.170.225,ISP5,NZL,payee43,VCT,10,G
20160801 08:09,185,MOBILE-BROWSER,N,user143,221.60.128.112,ISP13,NIC,payee27,VAT,6,G
20160801 08:11,186,WEB,Y,user242,181.185.198.236,ISP3,NGA,payee3,USA,3000,F
20160801 08:12,187,MOBILE-APP,N,user232,106.3.135.196,ISP2,USA,payee77,USA,2000,G
20160801 08:14,188,WEB,Y,user103,196.165.112.125,ISP20,NGA,payee5,USA,30000,G
20160801 08:14,189,WEB,N,user102,151.178.113.54,ISP25,NIU,payee77,URY,4,F
20160801 08:15,190,MOBILE-BROWSER,Y,user84,94.208.145.246,ISP19,NIU,payee53,USA,3,G
20160801 08:15,191,WEB,N,user168,154.91.21.104,ISP24,PRK,payee91,UKR,2000,G
20160801 08:25,192,WEB,Y,user206,138.156.154.119,ISP16,USA,payee48,UGA,400,G
20160801 08:26,193,MOBILE-BROWSER,N,user58,158.41.184.120,ISP8,NOR,payee2,RUS,900,G
20160801 08:32,194,MOBILE-APP,N,user134,4.170.166.252,ISP4,OMN,payee2,TWN,8000,G
20160801 08:35,195,MOBILE-BROWSER,Y,user223,107.174.242.37,ISP28,USA,payee14,RUS,20000,G
20160801 08:38,196,MOBILE-BROWSER,Y,user108,141.181.104.203,ISP22,GBR,payee61,USA,9,G
20160801 08:38,197,WEB,N,user135,70.125.145.48,ISP26,PSE,payee82,USA,8000,G
20160801 08:39,198,MOBILE-APP,N,user203,155.194.127.14,ISP5,PAN,payee71,RUS,400,G
20160801 08:47,199,MOBILE-BROWSER,N,user39,215.104.70.115,ISP7,PNG,payee55,TON,1,G
20160801 08:51,200,WEB,N,user228,95.82.171.104,ISP6,PRY,payee26,TLS,5,G
20160801 08:54,201,MOBILE-APP,N,user131,250.243.198.29,ISP6,PER,payee24,TKM,9,G
20160801 08:55,202,MOBILE-APP,N,user178,16.32.224.132,ISP14,PHL,payee5,CHN,700,G
20160801 08:57,203,WEB,Y,user159,74.69.59.8,ISP30,PCN,payee29,CHN,5000,G
20160801 09:02,204,WEB,N,user169,250.92.35.42,ISP23,POL,payee17,THA,50,G
20160801 09:04,205,MOBILE-BROWSER,N,user19,212.195.35.100,ISP24,PRK,payee61,UKR,90000,F
20160801 09:05,206,WEB,N,user154,193.174.84.28,ISP26,COL,payee26,USA,20000,G
20160801 09:05,207,MOBILE-BROWSER,Y,user293,213.216.68.92,ISP1,USA,payee38,USA,30,G
20160801 09:06,208,MOBILE-BROWSER,N,user173,183.5.197.20,ISP30,GBR,payee23,WLF,8,G
20160801 09:08,209,MOBILE-BROWSER,N,user25,195.17.138.80,ISP14,CHN,payee65,USA,10,G
20160801 09:08,210,WEB,N,user245,140.161.136.236,ISP22,NLD,payee85,CHN,70000,G
20160801 09:09,211,MOBILE-APP,N,user205,68.22.97.92,ISP1,ARG,payee34,RUS,40000,G
20160801 09:11,212,WEB,N,user227,110.0.183.94,ISP18,ISL,payee59,NGA,6,G
20160801 09:11,213,MOBILE-BROWSER,Y,user263,204.95.166.241,ISP2,CHN,payee44,VEN,7,G
20160801 09:11,214,WEB,N,user3,174.67.45.174,ISP13,DEU,payee95,USA,7000,G
20160801 09:13,215,MOBILE-APP,N,user239,13.36.220.150,ISP6,CHN,payee69,VAT,800,G
20160801 09:14,216,MOBILE-BROWSER,N,user119,80.139.155.117,ISP28,USA,payee2,UZB,50,G
20160801 09:16,217,MOBILE-APP,N,user233,181.34.74.201,ISP11,USA,payee47,ZAF,600,G
20160801 09:17,218,WEB,Y,user123,84.109.212.244,ISP19,GBR,payee79,YEM,40,G
20160801 09:22,219,MOBILE-BROWSER,Y,user11,4.138.181.254,ISP21,NLD,payee49,RUS,10000,G
20160801 09:22,220,MOBILE-BROWSER,N,user244,161.211.202.73,ISP8,NLD,payee48,WSM,100000,G
20160801 09:22,221,MOBILE-APP,Y,user300,26.69.236.240,ISP20,MNP,payee17,UGA,20,F
20160801 09:28,222,MOBILE-APP,N,user230,146.222.136.221,ISP1,ARG,payee35,WLF,30,G
20160801 09:28,223,WEB,Y,user220,197.87.118.250,ISP2,ISL,payee85,NGA,5,G
20160801 09:29,224,WEB,N,user66,73.224.178.40,ISP20,ITA,payee2,CHN,80000,G
20160801 09:34,225,MOBILE-APP,N,user18,128.231.247.6,ISP1,DEU,payee72,RUS,20000,G
20160801 09:35,226,MOBILE-APP,N,user70,123.110.153.17,ISP7,MAC,payee88,NGA,400,G
20160801 09:37,227,WEB,Y,user123,46.107.97.214,ISP27,NOR,payee17,TZA,20,F
20160801 09:38,228,WEB,N,user93,31.149.42.186,ISP8,NCL,payee50,RUS,6,G
20160801 09:45,229,WEB,N,user163,93.199.91.131,ISP11,NZL,payee17,VCT,7,G
20160801 09:54,230,WEB,N,user164,196.14.171.150,ISP11,USA,payee26,VAT,300,G
20160801 09:56,231,MOBILE-APP,Y,user265,88.175.5.87,ISP7,NER,payee9,NGA,8,G
20160801 09:56,232,MOBILE-BROWSER,N,user117,68.237.154.204,ISP26,NGA,payee5,USA,3,G
20160801 09:58,233,MOBILE-BROWSER,Y,user181,135.172.144.87,ISP20,USA,payee98,URY,10,G
20160801 10:00,234,MOBILE-APP,Y,user42,219.93.96.28,ISP15,PRK,payee43,UKR,700,G
20160801 10:01,235,MOBILE-BROWSER,Y,user162,26.4.234.241,ISP14,MNP,payee20,UGA,4000,G
20160801 10:03,236,MOBILE-BROWSER,Y,user252,114.57.121.154,ISP26,NOR,payee2,TZA,5000,G
20160801 10:04,237,MOBILE-BROWSER,Y,user236,52.49.103.62,ISP2,OMN,payee51,TWN,20,G
20160801 10:10,238,MOBILE-BROWSER,Y,user84,141.181.104.203,ISP22,NLD,payee46,USA,80,F
20160801 10:12,239,WEB,Y,user186,124.61.119.65,ISP8,PAK,payee67,CHN,90,G
20160801 10:12,240,WEB,Y,user39,199.219.78.181,ISP3,PAK,payee2,TUV,10,F
20160801 10:19,241,WEB,Y,user83,98.94.179.59,ISP27,PLW,payee27,TUR,8000,G
20160801 10:21,242,MOBILE-APP,Y,user80,58.226.148.88,ISP6,PSE,payee97,CHN,7000,G
20160801 10:36,243,MOBILE-APP,Y,user160,124.10.35.29,ISP9,PAN,payee2,TTO,9,G
20160801 10:39,244,MOBILE-APP,Y,user142,71.75.218.57,ISP7,PNG,payee81,TON,400,G
20160801 10:40,245,WEB,Y,user172,212.23.236.229,ISP12,PRY,payee39,USA,600,G
20160801 10:41,246,MOBILE-BROWSER,Y,user109,75.229.206.230,ISP9,USA,payee4,TKM,10,G
20160801 10:41,247,MOBILE-BROWSER,Y,user81,115.198.117.92,ISP23,PHL,payee12,TKL,8,G
20160801 10:43,248,MOBILE-APP,Y,user157,75.128.99.230,ISP29,USA,payee31,TJK,200,G
20160801 10:49,249,WEB,Y,user201,255.87.73.103,ISP19,POL,payee46,THA,500,G
20160801 10:52,250,MOBILE-APP,Y,user197,248.5.82.223,ISP24,COL,payee30,TGO,20,G
20160801 10:56,251,MOBILE-APP,Y,user107,184.247.201.108,ISP4,USA,payee17,USA,50,G
20160801 11:03,252,WEB,Y,user106,161.37.250.250,ISP11,GBR,payee90,YEM,60,G
20160801 11:13,253,MOBILE-BROWSER,Y,user1,96.198.163.174,ISP7,CHN,payee32,XKX,7,G
20160801 11:15,254,MOBILE-APP,Y,user151,35.174.206.4,ISP16,NLD,payee5,WSM,30000,G
20160801 11:21,255,MOBILE-BROWSER,Y,user195,78.104.188.178,ISP9,ARG,payee93,WLF,1000,G
20160801 11:22,256,MOBILE-BROWSER,Y,user139,204.73.196.252,ISP30,ISL,payee65,VUT,70000,G
20160801 11:23,257,MOBILE-BROWSER,Y,user176,110.60.159.56,ISP15,ITA,payee70,CHN,2000,G
20160801 11:25,258,MOBILE-APP,Y,user52,72.118.202.93,ISP29,DEU,payee99,RUS,80000,G
20160801 11:26,259,WEB,Y,user54,168.38.69.96,ISP5,MAC,payee13,NGA,30,G
20160801 11:28,260,MOBILE-BROWSER,Y,user279,41.247.6.247,ISP1,NCL,payee26,VEN,9000,G
20160801 11:28,261,MOBILE-BROWSER,Y,user280,37.19.212.146,ISP20,NZL,payee74,NGA,40000,G
20160801 11:34,262,WEB,Y,user212,5.88.176.227,ISP12,NIC,payee66,NGA,100,G
