"d_id","age","capacity","model","fail"
249,11,"300GB","Seagate",FALSE
250,25,"1TB","Toshiba",FALSE
251,19,"300GB","Hitachi",FALSE
252,18,"600GB","Seagate",FALSE
253,20,"1TB","Hitachi",FALSE
254,18,"1TB","Hitachi",FALSE
255,16,"600GB","Hitachi",FALSE
256,11,"600GB","Hitachi",FALSE
257,11,"1TB","Seagate",FALSE
258,14,"300GB","Seagate",FALSE
259,18,"600GB","Hitachi",FALSE
260,12,"300GB","Hitachi",FALSE
261,19,"300GB","Seagate",FALSE
262,16,"600GB","Toshiba",FALSE
263,12,"300GB","Fujitsu",FALSE
264,12,"1TB","Fujitsu",FALSE
265,9,"1TB","Seagate",FALSE
266,9,"600GB","Seagate",FALSE
267,13,"1TB","Seagate",FALSE
268,18,"600GB","Hitachi",FALSE
269,20,"300GB","Hitachi",FALSE
270,14,"300GB","Hitachi",FALSE
271,15,"600GB","Seagate",FALSE
272,11,"300GB","Toshiba",FALSE
273,12,"600GB","Fujitsu",FALSE
274,19,"600GB","Hitachi",FALSE
275,15,"1TB","Fujitsu",FALSE
276,13,"600GB","Hitachi",FALSE
277,16,"1TB","Fujitsu",FALSE
278,12,"1TB","Seagate",FALSE
279,14,"300GB","Toshiba",FALSE
280,19,"300GB","Hitachi",FALSE
281,13,"1TB","Hitachi",FALSE
282,12,"1TB","Seagate",FALSE
283,15,"300GB","Hitachi",FALSE
284,12,"600GB","Fujitsu",FALSE
285,21,"1TB","Toshiba",FALSE
286,21,"1TB","Fujitsu",FALSE
287,18,"1TB","Seagate",FALSE
288,15,"1TB","Fujitsu",FALSE
289,10,"1TB","Toshiba",FALSE
290,12,"600GB","Hitachi",FALSE
291,22,"300GB","Seagate",FALSE
292,19,"1TB","Fujitsu",FALSE
293,20,"1TB","Seagate",FALSE
294,12,"300GB","Seagate",FALSE
295,20,"300GB","Seagate",FALSE
296,9,"600GB","Toshiba",FALSE
297,9,"1TB","Seagate",FALSE
298,20,"300GB","Hitachi",FALSE
299,15,"1TB","Hitachi",FALSE
300,17,"600GB","Hitachi",FALSE
301,16,"600GB","Fujitsu",FALSE
302,18,"1TB","Fujitsu",FALSE
303,21,"300GB","Fujitsu",FALSE
304,10,"600GB","Fujitsu",FALSE
305,11,"600GB","Hitachi",FALSE
306,11,"1TB","Fujitsu",FALSE
307,31,"1TB","Seagate",FALSE
308,10,"300GB","Hitachi",FALSE
309,20,"1TB","Fujitsu",FALSE
310,20,"600GB","Toshiba",FALSE
311,16,"1TB","Toshiba",FALSE
312,19,"300GB","Toshiba",FALSE
313,16,"300GB","Toshiba",FALSE
314,13,"300GB","Toshiba",FALSE
315,13,"1TB","Toshiba",FALSE
316,17,"300GB","Seagate",FALSE
317,12,"1TB","Toshiba",FALSE
318,19,"300GB","Toshiba",FALSE
319,10,"1TB","Toshiba",FALSE
320,16,"1TB","Fujitsu",FALSE
321,17,"1TB","Hitachi",FALSE
322,15,"300GB","Toshiba",FALSE
323,20,"300GB","Fujitsu",FALSE
324,13,"1TB","Seagate",FALSE
325,19,"300GB","Seagate",FALSE
326,12,"300GB","Seagate",FALSE
327,11,"300GB","Toshiba",FALSE
328,16,"1TB","Seagate",FALSE
329,12,"1TB","Fujitsu",FALSE
330,13,"1TB","Fujitsu",FALSE
331,16,"1TB","Seagate",FALSE
332,19,"600GB","Toshiba",FALSE
333,22,"600GB","Seagate",FALSE
334,15,"1TB","Toshiba",FALSE
335,13,"1TB","Seagate",FALSE
336,12,"300GB","Seagate",FALSE
337,16,"600GB","Seagate",FALSE
338,15,"1TB","Fujitsu",FALSE
339,10,"600GB","Hitachi",FALSE
340,18,"300GB","Toshiba",FALSE
341,20,"1TB","Hitachi",FALSE
342,14,"600GB","Fujitsu",FALSE
343,19,"300GB","Fujitsu",FALSE
344,20,"1TB","Seagate",FALSE
345,16,"300GB","Seagate",FALSE
346,22,"300GB","Hitachi",FALSE
347,12,"600GB","Seagate",FALSE
348,14,"600GB","Toshiba",FALSE
349,27,"1TB","Hitachi",FALSE
350,14,"600GB","Fujitsu",FALSE
351,8,"300GB","Fujitsu",FALSE
352,23,"300GB","Seagate",FALSE
353,16,"300GB","Toshiba",FALSE
354,20,"1TB","Toshiba",FALSE
355,13,"1TB","Seagate",FALSE
356,18,"300GB","Fujitsu",FALSE
357,16,"1TB","Fujitsu",FALSE
358,12,"300GB","Toshiba",FALSE
359,17,"300GB","Seagate",FALSE
360,12,"1TB","Hitachi",FALSE
361,14,"1TB","Toshiba",FALSE
362,18,"300GB","Toshiba",FALSE
363,14,"1TB","Fujitsu",FALSE
364,20,"1TB","Toshiba",FALSE
365,19,"1TB","Hitachi",FALSE
366,15,"600GB","Seagate",FALSE
367,16,"1TB","Fujitsu",FALSE
368,22,"1TB","Toshiba",FALSE
369,22,"600GB","Toshiba",FALSE
370,6,"1TB","Hitachi",FALSE
371,12,"300GB","Toshiba",FALSE
372,10,"1TB","Hitachi",FALSE
373,18,"300GB","Hitachi",FALSE
374,11,"1TB","Hitachi",FALSE
375,17,"1TB","Hitachi",FALSE
376,20,"1TB","Toshiba",FALSE
377,18,"300GB","Toshiba",FALSE
378,14,"600GB","Seagate",FALSE
379,25,"1TB","Hitachi",FALSE
380,21,"300GB","Seagate",FALSE
381,20,"1TB","Hitachi",FALSE
382,17,"300GB","Toshiba",FALSE
383,14,"1TB","Hitachi",FALSE
384,16,"300GB","Toshiba",FALSE
385,20,"1TB","Fujitsu",FALSE
386,23,"300GB","Hitachi",FALSE
387,13,"600GB","Fujitsu",FALSE
388,22,"600GB","Seagate",FALSE
389,17,"600GB","Toshiba",FALSE
390,9,"600GB","Seagate",FALSE
391,19,"1TB","Hitachi",FALSE
392,21,"600GB","Seagate",FALSE
393,18,"300GB","Fujitsu",FALSE
394,18,"300GB","Toshiba",FALSE
395,20,"1TB","Hitachi",FALSE
396,11,"1TB","Hitachi",FALSE
397,12,"1TB","Hitachi",FALSE
398,21,"1TB","Seagate",FALSE
399,15,"1TB","Hitachi",FALSE
400,11,"1TB","Toshiba",FALSE
401,13,"1TB","Seagate",FALSE
402,27,"600GB","Fujitsu",FALSE
403,20,"1TB","Fujitsu",FALSE
404,13,"300GB","Fujitsu",FALSE
405,11,"1TB","Hitachi",FALSE
406,13,"1TB","Seagate",FALSE
407,19,"300GB","Fujitsu",FALSE
408,17,"300GB","Fujitsu",FALSE
409,10,"1TB","Fujitsu",FALSE
410,14,"1TB","Seagate",FALSE
411,11,"600GB","Fujitsu",FALSE
412,16,"1TB","Fujitsu",FALSE
413,17,"1TB","Hitachi",FALSE
414,12,"300GB","Hitachi",FALSE
415,14,"300GB","Hitachi",FALSE
416,8,"300GB","Seagate",FALSE
417,17,"300GB","Seagate",FALSE
418,6,"1TB","Seagate",FALSE
419,14,"600GB","Hitachi",FALSE
420,14,"600GB","Fujitsu",FALSE
421,12,"600GB","Toshiba",FALSE
422,15,"600GB","Hitachi",FALSE
423,22,"600GB","Fujitsu",FALSE
424,12,"1TB","Hitachi",FALSE
425,13,"600GB","Fujitsu",FALSE
426,17,"1TB","Seagate",FALSE
427,21,"600GB","Toshiba",FALSE
428,15,"1TB","Fujitsu",FALSE
429,5,"1TB","Toshiba",FALSE
430,20,"300GB","Toshiba",FALSE
431,17,"600GB","Fujitsu",FALSE
432,29,"300GB","Hitachi",FALSE
433,16,"1TB","Seagate",FALSE
434,27,"1TB","Toshiba",FALSE
435,20,"300GB","Fujitsu",FALSE
436,11,"600GB","Toshiba",FALSE
437,14,"1TB","Toshiba",FALSE
438,16,"300GB","Fujitsu",FALSE
439,17,"300GB","Hitachi",FALSE
440,13,"1TB","Fujitsu",FALSE
441,18,"600GB","Seagate",FALSE
442,11,"300GB","Seagate",FALSE
443,20,"1TB","Fujitsu",FALSE
444,17,"600GB","Hitachi",FALSE
445,19,"300GB","Seagate",FALSE
446,20,"1TB","Hitachi",FALSE
447,11,"600GB","Hitachi",FALSE
448,10,"600GB","Hitachi",FALSE
449,15,"1TB","Seagate",FALSE
450,12,"300GB","Toshiba",FALSE
451,23,"300GB","Hitachi",FALSE
452,28,"1TB","Seagate",FALSE
453,6,"300GB","Hitachi",FALSE
454,12,"600GB","Seagate",FALSE
455,16,"1TB","Seagate",FALSE
456,18,"300GB","Fujitsu",FALSE
457,16,"600GB","Seagate",FALSE
458,21,"600GB","Seagate",FALSE
459,16,"600GB","Toshiba",FALSE
460,16,"600GB","Fujitsu",FALSE
461,20,"600GB","Hitachi",FALSE
462,20,"300GB","Fujitsu",FALSE
463,14,"300GB","Hitachi",FALSE
464,17,"600GB","Toshiba",FALSE
465,18,"600GB","Fujitsu",FALSE
466,15,"1TB","Toshiba",FALSE
467,19,"1TB","Toshiba",FALSE
468,18,"1TB","Toshiba",FALSE
469,20,"1TB","Toshiba",FALSE
470,13,"300GB","Seagate",FALSE
471,18,"1TB","Toshiba",FALSE
472,18,"600GB","Toshiba",FALSE
473,13,"600GB","Toshiba",FALSE
474,14,"1TB","Toshiba",FALSE
475,14,"300GB","Fujitsu",FALSE
476,16,"600GB","Hitachi",FALSE
477,14,"1TB","Toshiba",FALSE
478,12,"600GB","Toshiba",FALSE
479,23,"600GB","Hitachi",FALSE
480,15,"300GB","Hitachi",FALSE
481,22,"1TB","Seagate",FALSE
482,15,"1TB","Seagate",FALSE
483,12,"600GB","Hitachi",FALSE
484,28,"1TB","Fujitsu",FALSE
485,14,"600GB","Toshiba",FALSE
486,11,"300GB","Toshiba",FALSE
487,10,"600GB","Fujitsu",FALSE
488,16,"600GB","Seagate",FALSE
489,12,"600GB","Toshiba",FALSE
490,16,"600GB","Toshiba",FALSE
491,15,"300GB","Fujitsu",FALSE
492,19,"600GB","Seagate",FALSE
493,14,"1TB","Seagate",FALSE
494,13,"600GB","Seagate",FALSE
495,18,"1TB","Seagate",FALSE
496,9,"1TB","Toshiba",FALSE
497,20,"1TB","Toshiba",FALSE
498,14,"600GB","Seagate",FALSE
499,20,"300GB","Fujitsu",FALSE
500,23,"300GB","Seagate",FALSE
501,9,"300GB","Seagate",FALSE
502,18,"300GB","Seagate",FALSE
503,14,"300GB","Fujitsu",FALSE
504,19,"1TB","Toshiba",FALSE
505,17,"600GB","Toshiba",FALSE
506,13,"300GB","Seagate",FALSE
507,16,"600GB","Toshiba",FALSE
508,23,"1TB","Seagate",FALSE
509,22,"1TB","Toshiba",FALSE
510,21,"600GB","Fujitsu",FALSE
511,17,"1TB","Fujitsu",FALSE
512,18,"600GB","Hitachi",FALSE
513,9,"600GB","Seagate",FALSE
514,18,"600GB","Hitachi",FALSE
515,23,"1TB","Hitachi",FALSE
516,18,"1TB","Seagate",FALSE
517,12,"600GB","Hitachi",FALSE
518,13,"300GB","Seagate",FALSE
519,20,"1TB","Toshiba",FALSE
520,17,"1TB","Toshiba",FALSE
521,23,"1TB","Toshiba",FALSE
522,12,"300GB","Fujitsu",FALSE
523,15,"1TB","Fujitsu",FALSE
524,8,"300GB","Toshiba",FALSE
525,21,"600GB","Seagate",FALSE
526,19,"300GB","Seagate",FALSE
527,14,"300GB","Fujitsu",FALSE
528,12,"300GB","Seagate",FALSE
529,16,"600GB","Seagate",FALSE
530,16,"1TB","Seagate",FALSE
531,13,"1TB","Seagate",FALSE
532,21,"300GB","Seagate",FALSE
533,18,"300GB","Toshiba",FALSE
534,11,"600GB","Toshiba",FALSE
535,15,"1TB","Seagate",FALSE
536,19,"300GB","Seagate",FALSE
537,18,"1TB","Hitachi",FALSE
538,15,"600GB","Fujitsu",FALSE
539,15,"600GB","Seagate",FALSE
540,13,"600GB","Toshiba",FALSE
541,23,"300GB","Toshiba",FALSE
542,14,"600GB","Seagate",FALSE
543,15,"300GB","Hitachi",FALSE
544,18,"1TB","Fujitsu",FALSE
545,21,"600GB","Hitachi",FALSE
546,14,"600GB","Hitachi",FALSE
547,19,"300GB","Seagate",FALSE
548,20,"1TB","Toshiba",FALSE
549,15,"300GB","Fujitsu",FALSE
550,10,"300GB","Fujitsu",FALSE
551,13,"1TB","Toshiba",FALSE
552,19,"1TB","Fujitsu",FALSE
553,14,"1TB","Toshiba",FALSE
554,22,"1TB","Fujitsu",FALSE
555,22,"1TB","Fujitsu",FALSE
556,11,"1TB","Fujitsu",FALSE
557,20,"300GB","Hitachi",FALSE
558,20,"1TB","Seagate",FALSE
559,15,"300GB","Hitachi",FALSE
560,14,"1TB","Toshiba",FALSE
561,17,"1TB","Fujitsu",FALSE
562,13,"600GB","Seagate",FALSE
563,10,"1TB","Toshiba",FALSE
564,16,"600GB","Hitachi",FALSE
565,19,"600GB","Toshiba",FALSE
566,19,"300GB","Toshiba",FALSE
567,13,"1TB","Seagate",FALSE
568,20,"600GB","Hitachi",FALSE
569,18,"600GB","Toshiba",FALSE
570,21,"300GB","Hitachi",FALSE
571,10,"300GB","Toshiba",FALSE
572,13,"1TB","Hitachi",FALSE
573,28,"600GB","Hitachi",FALSE
574,14,"1TB","Seagate",FALSE
575,21,"300GB","Seagate",FALSE
576,10,"300GB","Toshiba",FALSE
577,20,"600GB","Hitachi",FALSE
578,14,"1TB","Fujitsu",FALSE
579,15,"1TB","Fujitsu",FALSE
580,10,"600GB","Toshiba",FALSE
581,22,"600GB","Fujitsu",FALSE
582,16,"1TB","Hitachi",FALSE
583,19,"600GB","Seagate",FALSE
584,20,"1TB","Seagate",FALSE
585,19,"600GB","Toshiba",FALSE
586,23,"1TB","Seagate",FALSE
587,14,"1TB","Seagate",FALSE
588,15,"300GB","Fujitsu",FALSE
589,11,"300GB","Toshiba",FALSE
590,17,"600GB","Fujitsu",FALSE
591,10,"600GB","Hitachi",FALSE
592,13,"300GB","Toshiba",FALSE
593,15,"1TB","Hitachi",FALSE
594,17,"1TB","Hitachi",FALSE
595,18,"1TB","Seagate",FALSE
596,17,"1TB","Seagate",FALSE
597,19,"1TB","Fujitsu",FALSE
598,19,"300GB","Hitachi",FALSE
599,17,"1TB","Fujitsu",FALSE
600,20,"300GB","Fujitsu",FALSE
601,20,"1TB","Fujitsu",FALSE
602,19,"1TB","Toshiba",FALSE
603,17,"300GB","Seagate",FALSE
604,20,"300GB","Hitachi",FALSE
605,21,"600GB","Fujitsu",FALSE
606,18,"1TB","Seagate",FALSE
607,17,"1TB","Hitachi",FALSE
608,13,"600GB","Fujitsu",FALSE
609,13,"1TB","Toshiba",FALSE
610,14,"300GB","Hitachi",FALSE
611,14,"300GB","Fujitsu",FALSE
612,10,"600GB","Hitachi",FALSE
613,11,"300GB","Toshiba",FALSE
614,11,"600GB","Fujitsu",FALSE
615,17,"300GB","Fujitsu",FALSE
616,24,"600GB","Hitachi",FALSE
617,16,"1TB","Seagate",FALSE
618,12,"600GB","Seagate",FALSE
619,16,"1TB","Seagate",FALSE
620,17,"1TB","Fujitsu",FALSE
621,16,"600GB","Hitachi",FALSE
622,13,"600GB","Seagate",FALSE
623,18,"1TB","Fujitsu",FALSE
624,20,"1TB","Toshiba",FALSE
625,13,"300GB","Seagate",FALSE
626,21,"300GB","Toshiba",FALSE
627,13,"300GB","Fujitsu",FALSE
628,19,"1TB","Hitachi",FALSE
629,28,"300GB","Fujitsu",FALSE
630,16,"600GB","Seagate",FALSE
631,9,"600GB","Fujitsu",FALSE
632,14,"1TB","Seagate",FALSE
633,20,"600GB","Hitachi",FALSE
634,11,"600GB","Toshiba",FALSE
635,16,"1TB","Fujitsu",FALSE
636,10,"300GB","Fujitsu",FALSE
637,13,"300GB","Toshiba",FALSE
638,12,"300GB","Toshiba",FALSE
639,25,"1TB","Seagate",FALSE
640,20,"600GB","Fujitsu",FALSE
641,13,"300GB","Fujitsu",FALSE
642,16,"600GB","Toshiba",FALSE
643,12,"300GB","Hitachi",FALSE
644,14,"300GB","Seagate",FALSE
645,11,"1TB","Hitachi",FALSE
646,16,"1TB","Seagate",FALSE
647,14,"300GB","Fujitsu",FALSE
648,17,"1TB","Fujitsu",FALSE
649,17,"1TB","Toshiba",FALSE
650,14,"1TB","Hitachi",FALSE
651,13,"600GB","Hitachi",FALSE
652,11,"300GB","Fujitsu",FALSE
653,14,"300GB","Hitachi",FALSE
654,21,"300GB","Toshiba",FALSE
655,12,"300GB","Seagate",FALSE
656,19,"1TB","Hitachi",FALSE
657,11,"600GB","Toshiba",FALSE
658,10,"600GB","Seagate",FALSE
659,13,"1TB","Toshiba",FALSE
660,18,"600GB","Fujitsu",FALSE
661,12,"600GB","Hitachi",FALSE
662,15,"1TB","Seagate",FALSE
663,18,"300GB","Fujitsu",FALSE
664,16,"600GB","Fujitsu",FALSE
665,12,"300GB","Toshiba",FALSE
666,17,"300GB","Seagate",FALSE
667,12,"1TB","Hitachi",FALSE
668,20,"600GB","Toshiba",FALSE
669,17,"1TB","Hitachi",FALSE
670,12,"1TB","Toshiba",FALSE
671,20,"300GB","Seagate",FALSE
672,16,"600GB","Hitachi",FALSE
673,13,"300GB","Fujitsu",FALSE
674,24,"300GB","Toshiba",FALSE
675,12,"600GB","Hitachi",FALSE
676,15,"300GB","Hitachi",FALSE
677,19,"600GB","Seagate",FALSE
678,12,"1TB","Toshiba",FALSE
679,17,"300GB","Fujitsu",FALSE
680,17,"600GB","Toshiba",FALSE
681,12,"300GB","Seagate",FALSE
682,15,"600GB","Toshiba",FALSE
683,21,"300GB","Hitachi",FALSE
684,14,"1TB","Toshiba",FALSE
685,13,"600GB","Fujitsu",FALSE
686,19,"600GB","Fujitsu",FALSE
687,18,"1TB","Seagate",FALSE
688,19,"1TB","Fujitsu",FALSE
689,20,"300GB","Seagate",FALSE
690,13,"1TB","Fujitsu",FALSE
691,13,"1TB","Toshiba",FALSE
692,12,"600GB","Hitachi",FALSE
693,16,"300GB","Seagate",FALSE
694,14,"300GB","Toshiba",FALSE
695,14,"1TB","Fujitsu",FALSE
696,13,"1TB","Seagate",FALSE
697,12,"300GB","Toshiba",FALSE
698,14,"600GB","Hitachi",FALSE
699,12,"600GB","Hitachi",FALSE
700,14,"300GB","Seagate",FALSE
